model,accuracy,f1_score,vs_asset_floor,vs_sp500_baseline
Naive Baseline (Always Up),0.5435342606903658,0.7042723631508678,0.0,0.00423426069036581
GBM + Monte Carlo,0.5244719216898507,0.6218762802130274,-0.019062339000515127,-0.014828078310149317
Logistic Regression,0.5404430705821741,0.6909216909216909,-0.0030911901081916993,0.0011430705821741105
Random Forest,0.5213807315816589,0.6676207513416815,-0.022153529108706937,-0.017919268418341128
LSTM,0.5414078674948241,0.6949035812672176,-0.0021263931955417537,0.002107867494824056
GRU,0.5419254658385093,0.6923879040667362,-0.0016087948518564987,0.002625465838509311
