model,accuracy,f1_score,vs_asset_floor,vs_sp500_baseline
Naive Baseline (Always Up),0.5424013434089001,0.7033206314643441,0.0,0.0031013434089001146
GBM + Monte Carlo,0.5083963056255247,0.5582798943794794,-0.03400503778337538,-0.030903694374475266
Logistic Regression,0.5348446683459278,0.6686602870813397,-0.007556675062972307,-0.004455331654072192
Random Forest,0.5361041141897566,0.6477526299011794,-0.006297229219143552,-0.0031958858102434373
LSTM,0.5313948588284871,0.6576354679802956,-0.011006484580412979,-0.007905141171512864
GRU,0.528023598820059,0.65389369592089,-0.014377744588841113,-0.011276401179940998
