model,accuracy,f1_score,vs_asset_floor,vs_sp500_baseline
Naive Baseline (Always Up),0.5272879932829555,0.6904892798240791,0.0,-0.012012006717044499
GBM + Monte Carlo,0.4802686817800168,0.48113998323554064,-0.0470193115029387,-0.0590313182199832
Logistic Regression,0.5058774139378673,0.5931558935361216,-0.021410579345088165,-0.033422586062132664
Random Forest,0.49580184718723763,0.5368299267258002,-0.03148614609571787,-0.04349815281276237
LSTM,0.5326590813316477,0.6203355015405683,0.005371088048692241,-0.006640918668352258
GRU,0.5246523388116309,0.5997161107168204,-0.0026356544713246333,-0.014647661188369132
