model,accuracy,sharpe_ratio,mean_daily_ret,daily_std,total_return,vs_buyhold
buy_and_hold,,0.7918,0.000578,0.011584,2.3569,0.0
naive,0.5508,0.7918,0.000578,0.011584,2.3569,0.0
arima,0.5183,0.628,0.000367,0.009282,1.1569,-0.1638
logistic,0.5487,0.721,0.000479,0.01055,1.7297,-0.0707
lstm,0.547,0.7016,0.00049,0.011076,1.7593,-0.0902
