Asset,Floor,GBM+MC,Logistic,RF,LSTM,GRU
S&P 500,53.93,52.1,54.4,53.59,54.4,54.66
NVDA,54.24,50.84,53.48,53.61,53.14,52.8
GLD,54.35,52.45,54.04,52.14,54.14,54.19
EWJ,52.73,48.03,50.59,49.58,53.27,52.47
